"Opportunity ID";"Stage Before Lost";"Created Date";"Interest";"Campus extended";"Country Aggregate";"Stage";"Last Click Channel";"Drop";"Person Account: Gender";"Close Date"
"0065J00000Ax9Am";"Student Agreement";"14/04/2022";"CYFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"18/05/2022"
"0065J00000CcXJn";"Re-applied";"27/12/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"";"0";"Female";"2/01/2023"
"0065J00000DOpaB";"Technical Interview";"9/05/2023";"WDFT";"MAD - Spain";"Spain";"Closed lost";"";"0";"Male";"23/05/2023"
"0065J00000AxMeT";"";"28/04/2022";"DAFT";"BCN - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Male";"25/05/2022"
"0065J00000BRLaQ";"Technical Interview";"30/05/2022";"DAPT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"Female";"29/06/2022"
"0065J00000Bmhjm";"Technical Interview";"29/09/2022";"UXPT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"4/10/2022"
"0065J00000Ccrs0";"Personal Interview";"16/01/2023";"WDFT";"BCN - Spain";"Spain";"Closed lost";"Other";"0";"";"17/01/2023"
"0065J00000BlrcM";"Technical Interview";"2/08/2022";"DAFT";"MAD - Spain";"Spain";"Closed lost";"Email";"0";"Male";"8/08/2022"
"0065J00000CccbO";"";"5/01/2023";"WDPT";"RMTEU - Spain";"Spain";"Paid Deposit";"";"0";"Female";"17/01/2023"
"0065J00000CcCIm";"";"30/11/2022";"DAFT";"BCN - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Male";"1/12/2022"
"0065J00000DORDB";"Personal Interview";"10/04/2023";"DAPT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"10/04/2023"
"0065J00000BRagG";"";"13/06/2022";"DAFT";"MAD - Spain";"Spain";"ISA won on account";"Direct";"0";"Female";"26/07/2022"
"0065J00000AxGo9";"Student Agreement";"22/04/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Social";"0";"Male";"2/05/2022"
"0065J00000E47H1";"";"23/03/2023";"CYFT";"RMTEU - Spain";"Spain";"ISA won on account";"";"0";"Male";"30/03/2023"
"0065J00000CcYrm";"Student Agreement";"30/12/2022";"CYPT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"Male";"23/01/2023"
"0065J00000DOoXu";"Personal Interview";"8/05/2023";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Direct";"0";"";"5/06/2023"
"0065J00000DOcX9";"Technical Interview";"21/04/2023";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"30/05/2023"
"0065J00000CcXGo";"Personal Interview";"27/12/2022";"WDFT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"27/12/2022"
"0065J000009En9u";"";"7/02/2022";"UXFT";"RMTEU - Spain";"Spain";"ISA won on account";"Organic Search";"0";"Female";"17/02/2022"
"0065J00000CbyXv";"Technical Interview";"16/11/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Referral";"0";"Female";"23/11/2022"
"0065J00000CcQMc";"Technical Interview";"15/12/2022";"CYPT";"RMTEU - Spain";"Spain";"Closed lost";"Other";"0";"Male";"23/01/2023"
"0065J00000CbPOY";"";"18/10/2022";"DAPT";"RMTEU - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Female";"7/11/2022"
"0065J00000DOwi2";"";"19/05/2023";"WDPT";"MAD - Spain";"Spain";"Paid Deposit";"";"0";"Male";"25/05/2023"
"0065J00000CbZbX";"";"31/10/2022";"WDFT";"MAD - Spain";"Spain";"Paid Deposit";"";"0";"Male";"15/11/2022"
"0065J000009EWnV";"";"26/01/2022";"UXFT";"MAD - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Male";"8/02/2022"
"0065J00000Bm3Sj";"Technical Interview";"18/08/2022";"WDPT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"20/09/2022"
"0065J00000BmMAd";"Student Agreement";"12/09/2022";"DAFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"8/11/2022"
"0065J000009FFvQ";"Student Agreement";"25/02/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"22/03/2022"
"0065J00000DPvQu";"Technical Interview";"21/06/2023";"WDFT";"BCN - Spain";"Spain";"Closed lost";"";"0";"Female";"26/06/2023"
"0065J00000CAKr7";"Personal Interview";"18/07/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"";"17/08/2022"
"0065J00000CcPUG";"Personal Interview";"14/12/2022";"DAPT";"RMTEU - Spain";"Spain";"Closed lost";"Other";"0";"";"1/02/2023"
"0065J00000AwgQ5";"";"21/03/2022";"WDFT";"RMTEU - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Male";"1/04/2022"
"0065J00000DOqIh";"";"10/05/2023";"DAFT";"RMTEU - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Female";"17/05/2023"
"0065J00000CclNf";"";"11/01/2023";"UXFT";"MAD - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Female";"30/01/2023"
"0065J00000BmbMR";"Personal Interview";"21/09/2022";"DAPT";"RMTEU - Spain";"Spain";"Closed lost";"Other";"0";"Male";"12/10/2022"
